,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
3458,北京辽金城垣博物馆,搜狐网,北京建都850年 纪念活动展示历久弥新独特魅力,"昨天,记者在北京辽金城垣博物馆看到,作为此次纪念活动重头戏的《北京建都之始——金中都历史展》已经基本布置完毕,展览分为金中都南城垣水关遗址保护现场和室内金代文物陈列两个展区,室内展出又分为“水关遗址”、“北京城的由来”、...",http://news.sohu.com/32/38/news213373832.shtml,"('9月18日', 2160)"
3459,北京大葆台西汉墓博物馆,搜狐网,"国内唯一的原址上保存最完好的大型汉墓遗址,大葆台西汉墓","大葆台西汉墓博物馆大葆台西汉墓博物馆位于北京城南约15公里的丰台区花乡郭公庄南,是一座建立在汉代王陵遗址上的博物馆,1982年12月对社会开放。大葆台西汉墓葬博物馆是我国第一座汉代墓葬博物馆。其中不少陈列物品都是第一次出土的珍品...",https://www.sohu.com/a/461832409_120945110,"('4月20日', 720)"
3460,北京大葆台西汉墓博物馆,北京文博,敬请关注北京交通广播节目“博物馆京游记”之大葆台西汉墓博物馆,近期，北京市文物局与北京交通广播共同策划推出系列节目“博物馆京游记”，以“主持人访谈”的形式，带您领略博物馆的奥秘。节目预告 今天11:00-12:00，第十二期节目将邀请北京市大葆台西汉墓博物馆社教部主任刘海明、馆员尉威一起聊...,https://baijiahao.baidu.com/s?id=1693537590887306546&wfr=spider&for=pc,"('3月7日', 1440)"
3461,北京大葆台西汉墓博物馆,身边24小时,北京大葆台西汉墓博物馆主题临展为城市建设者送温暖,2月4日，正值北方农历“小年”，北京市大葆台西汉墓博物馆策划了“春意满神州·他乡是故乡”主题临展活动，送展到北京丽泽金融商务区建设工地，为响应国家就地过年倡议、放弃返乡与家人团聚的城市建设者们送去新春祝福。展览分为前言、...,https://baijiahao.baidu.com/s?id=1690777949850780800&wfr=spider&for=pc,"('2月4日', 2160)"
3462,北京大葆台西汉墓博物馆,腾讯网,【FENG说】昔日边地幽州——大葆台汉墓,"大葆台西汉墓 在西汉,北京曾有很长一段时间属于诸侯王管辖,共历经12位燕王、广阳王,这使得这一地区存留了不少汉王陵墓。大葆台汉墓是其中格外引人注目的一座。 墓主地位显赫 大葆台汉墓位于今北京市丰台区郭公庄西南部。包括两座墓...",https://new.qq.com/omn/20210330/20210330A0CV8F00.html,"('3月30日', 1440)"
3463,北京大葆台西汉墓博物馆,北晚新视觉网,"北京这座西汉墓的发掘,首次使文献中流传千年的神秘葬制显露真容",这座西汉墓的发掘，第一次使文献中流传千年的神秘葬制——属于汉代“天子之制”的“黄肠题凑”显露真容，第一次以实物资料呈现了北京地区汉代诸侯王的若干生活细节。而在考古原址建立的大葆台西汉墓博物馆，是中国第一座汉代墓葬博物...,https://baijiahao.baidu.com/s?id=1693717592427356093&wfr=spider&for=pc,"('3月9日', 1440)"
3464,北京大葆台西汉墓博物馆,搜狐网,文化旅游 | 每一个博物馆都承载着一段不同的历史,"北京市丰台区右安门外玉林小区 门票 免费 开放时间 9:00—16:00 (周一闭馆) 北京大葆台西汉墓博物馆 4 北京市大葆台西汉墓博物馆(Museum of Western HanTombs at Dabaotai, Beijing),位于丰台区花乡大葆台村,距市中心15公里。",https://www.sohu.com/a/246422205_99958140,"('8月10日', 2160)"
3465,北京大葆台西汉墓博物馆,搜狐网,丰台区初中综合实践活动 走进大葆台西汉墓博物馆,"丰富综合实践活动的方式,拓宽学生主动学习的空间环境,引导教学创造更多体验和探究的过程,增强初中教育的拓展性,2016年11月22日,北京教育学院丰台分院与大葆台西汉墓博物馆联合召开""丰台区初中综合实践活动 走进大葆台西汉墓博物馆现场会""...",https://www.sohu.com/a/119634643_116897,"('11月22日', 2160)"
3466,北京大葆台西汉墓博物馆,中国新闻网,大葆台西汉墓博物馆 直面神秘古墓,"坐692路公交车,在终点站“世界公园公交总站”下车,沿着幽静的丰葆路往回走三四分钟,路南赫然出现一道朱红色的仿古门阙,左侧立着一根红色柱子,从上到下用古字形写着12个大字:“北京市大葆台西汉墓博物馆”。博物馆占地面积18000平方...",https://www.chinanews.com/cul/news/2009/11-27/1986982.shtml,"('11月27日', 2160)"
3467,北京大葆台西汉墓博物馆,中国新闻网,北京唯一汉墓博物馆闭馆3年多 馆长:改扩建已开始,"大葆台西汉墓博物馆门口竖着闭馆公告 摄/记者 崔毅飞 法制晚报讯(记者 崔毅飞)近期汉代海昏侯墓文物从江西来京在首博开展,吸引了众多市民参观。 其实在北京也有值得一览的汉墓,其中丰台区大葆台汉墓是西汉广阳王刘建及其王后的陵墓,也是...",https://www.chinanews.com/cul/2016/03-29/7815997.shtml,"('3月29日', 2160)"
