,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
3411,北京辽金城垣博物馆,本地宝,北京辽金城垣博物馆重新开放 附地址及交通指南,"【导语】:北京辽金城垣博物馆经过1年半改造,近日重新开放,北京本地宝为大家整理了辽金城垣博物馆的详细信息。 北京辽金城垣博物馆经过1年半改造,近日重新开放,日前推出重新开放后的首展“铁凤风鸣——辽金东京地区文物展”。 ",http://bj.bendibao.com/news/20181213/255993.shtm,"('12月13日', 2160)"
3412,北京辽金城垣博物馆,北京文博,北京文博丨市文物局召开2021年度党建工作会,孔庙和国子监博物馆、北京市文物交流中心、北京市文物研究所、北京辽金城垣博物馆、北京文博交流馆、宣传教育中心、北京市文物工程质量监督站和办公室党组织书记，结合自身职责，突出第一责任，对照重点工作，总结成绩言简意赅，查摆问题实实...,https://baijiahao.baidu.com/s?id=1695828927750845189&wfr=spider&for=pc,"('4月1日', 720)"
3413,北京辽金城垣博物馆,和讯网,七夕节北京地区博物馆将推50余项文化活动 8家博物馆开启夜游,"观众可提前实名预约参观。据了解,七夕期间延时开放的8家博物馆有北京自然博物馆、北京天文馆、首都博物馆、大钟寺古钟博物馆、北京石刻艺术博物馆、老舍纪念馆、北京辽金城垣博物馆、北京市大葆台西汉墓博物馆。其中,北京天文馆将于8月25...",http://news.hexun.com/2020-08-21/201918114.html,"('8月21日', 2160)"
3414,北京辽金城垣博物馆,搜狐网,"今天起,北京这些东西都免费!还有这些好消息!","温馨提醒:名单以实际为准哦~部分免费博物馆,需要进行网上预约。 免费技能培训线上教学资源 今年的3月,北京公布了两批免费的技能培训线上教学课程,首批共23家线上培训平台、第二批共28家线上培训平台,涉及IT类、设计类、工商管理等多个...",https://www.sohu.com/a/407936143_99990918,"('7月16日', 2160)"
3415,北京辽金城垣博物馆,人民网,春末夏初来北京丰台感受美好时光,"开放时间:9:00-16:00(15:50停止入馆),每周一闭馆。 预约方式: 1、关注“北京文博”公众号,点击公众号底部菜单【博物馆—参观预约】进入预约页面。 2、关注“北京辽金城垣博物馆”微信公众号,点击公众号底部菜单【参观须知—网上预约...",http://bj.people.com.cn/n2/2020/0521/c14540-34033798.html,"('5月21日', 2160)"
3416,北京辽金城垣博物馆,搜狐网,"今天起,北京这些东西通通都免费!不知道你就亏大了!","在北京,这些公园不仅风景好还免费! 免费公园如下 (以实际为准) ▼ 北京免费博物馆 北京拥有非常多的博物馆 其中不少都免费开放 免费博物馆如下 ▼ 申请职称补贴,最高2000元 申领补贴要满足这几个条件: ...",https://www.sohu.com/a/329041112_661081,"('7月24日', 2160)"
3417,北京辽金城垣博物馆,搜狐网,"第一次来北京,除了天安门和烤鸭,还有这些...","北京,是一座多元化的城市,人们的精神文化娱乐活动,也非常丰富,经常会在博物馆或以数据,举办各种形式多样的展览,而且很多都是免费的。另外,每月展览,小胖儿都在推送给大家的,记住关注哦~ 北京免费博物馆如下 ...",https://www.sohu.com/a/284718535_739702,"('12月26日', 2160)"
3418,北京辽金城垣博物馆,环球网,2020北京市丰台区文化和旅游消夏季活动拉开帷幕,线路1:卢沟漫步之旅:卢沟桥-宛平城-中国人民抗日战争纪念馆-和平书店-绿堤公园 线路2:赏花之旅:北京园博园-中国园林博物馆-紫谷伊甸园 线路3:中都探秘之旅:北京莲花池公园-北京辽金城垣博物馆 ...,https://world.huanqiu.com/article/3zN4JVWN2Xa,"('8月7日', 2160)"
3419,北京辽金城垣博物馆,北京青年报,立足本职工作 开展专题党课,"本报讯(记者 赵婷婷)北京市文物局近期在全市文物系统持续扎实推进“不忘初心、牢记使命”主题教育,北京古代建筑博物馆、北京辽金城垣博物馆、北京市文物研究所、北京文博交流馆等局属单位纷纷开展各自主题教育活动,深入思考、领悟习近平总...",http://epaper.ynet.com/html/2019-07/22/content_333550.htm,"('7月22日', 2160)"
3420,北京辽金城垣博物馆,央广网,纵贯千年风华在 且看丰台新风采,"读懂一座城,要从博物馆开始,汽车博物馆、中华航天博物馆、辽金城垣博物馆、二七纪念馆、中国消防博物馆等,成为在丰台时代叙事中光彩的点缀。 除了深沉的人文历史和秀美的自然风光,丰台还通过丰富多彩的文旅活动,活跃城市氛围,丰富百姓精神...",http://www.cnr.cn/rdzx/cxxhl/zxxx/20200910/t20200910_525248885.shtml,"('9月10日', 2160)"
3421,北京辽金城垣博物馆,腾讯网,"周末啦,石景山周边5条线路!夜游、嬉水、亲子、赏花、游园、文博……","线路:北京莲花池公园-北京辽金城垣博物馆 特色:感受金中都历史文化,了解北京城的起源和历史发展。 如果您对历史感兴趣,我们推荐您到北京莲花池公园和北京辽金城垣博物馆,来一场中都探秘之旅。 ",https://new.qq.com/omn/20200821/20200821A0HW2I00.html?pc,"('8月21日', 2160)"
3422,北京辽金城垣博物馆,东方财富网,北京丰台消夏季推五条精品旅游线路,线路1卢沟漫步之旅:卢沟桥-宛平城-中国人民抗日战争纪念馆-和平书店-绿堤公园 线路2赏花之旅:北京园博园-中国园林博物馆-紫谷伊甸园 线路3中都探秘之旅:北京莲花池公园-北京辽金城垣博物馆 ...,http://finance.eastmoney.com/a/202008081586739539.html,"('8月8日', 2160)"
